Union,Gender,Age,Education_Level,Monthly_Income,Family_Size,Housing_Type,Land_Ownership,Previous_Erosion_Experience,Distance_from_River,Access_to_Warning,Relocation_History,Govt_or_NGO_Assistance,Has_Protection_System,Infrastructure_Loss,Income_Diversification,Employment_Status,Involved_in_Community_Adaptation,Awareness_Level,Distance_score,EII,ASI,SRI,ISS,Adaptation_Category
Maijbari,Female,46,Partially Educated,7539,5,Permanent,Yes,No,64,No,No,Yes,No,No,No,Employed,No,Moderate,0.9606,0.4803,0.2,0.6706,0.3333,Moderately Adaptive
Maijbari,Female,29,Educated,6893,6,Semi-Permanent,No,Yes,5,Yes,No,No,No,No,No,Employed,No,High,1,0.7,0.2,0.8266,0,Moderately Adaptive
Sthal,Male,44,Partially Educated,5681,2,Permanent,Yes,No,5,No,No,No,No,No,No,Employed,No,Moderate,1,0.5,0,0.6202,0,Non-Adaptive
Sthal,Female,47,Educated,6504,3,Permanent,Yes,Yes,124,Yes,No,No,No,Yes,No,Employed,No,High,0.9205,0.8603,0.2,0.816,0,Non-Adaptive
Bakchar,Female,41,Partially Educated,8412,4,Permanent,No,No,440,Yes,No,No,No,No,No,Employed,No,Moderate,0.7094,0.3547,0.2,0.6943,0,Moderately Adaptive
Maijbari,Female,39,Not Educated,4978,3,Permanent,Yes,No,195,Yes,No,Yes,No,No,No,Employed,Yes,Low,0.8731,0.4365,0.6,0.4277,0.6667,Moderately Adaptive
Kachua,Male,47,Not Educated,5367,5,Semi-Permanent,Yes,No,164,No,No,No,No,No,No,Employed,Yes,Low,0.8938,0.4469,0.2,0.4383,0.3333,Non-Adaptive
Maijbari,Female,67,Educated,7692,5,Temporary,Yes,Yes,189,No,No,No,Yes,No,Yes,Not Employed,No,Moderate,0.8771,0.6385,0.4,0.5013,0.3333,Strongly Adaptive
Sthal,Female,27,Partially Educated,8839,7,Permanent,No,Yes,166,Yes,No,Yes,No,No,No,Employed,No,Low,0.8925,0.6462,0.4,0.7059,0.3333,Moderately Adaptive
Maijbari,Female,45,Partially Educated,3889,5,Permanent,Yes,Yes,25,No,No,No,No,No,Yes,Not Employed,No,Low,0.9866,0.6933,0.2,0.2247,0,Non-Adaptive
Bakchar,Female,38,Educated,8920,4,Temporary,Yes,No,34,No,No,No,No,No,No,Not Employed,Yes,High,0.9806,0.4903,0.2,0.5346,0.3333,Strongly Adaptive
Bakchar,Male,36,Educated,6808,5,Semi-Permanent,Yes,No,92,No,No,No,No,No,No,Employed,Yes,Moderate,0.9419,0.4709,0.2,0.8243,0.3333,Moderately Adaptive
Maijbari,Male,39,Educated,7601,5,Permanent,Yes,No,105,No,No,No,No,No,No,Employed,Yes,High,0.9332,0.4666,0.2,0.8458,0.3333,Strongly Adaptive
Sthal,Male,45,Partially Educated,7491,6,Permanent,Yes,No,154,No,No,No,No,No,Yes,Not Employed,Yes,Moderate,0.9005,0.4502,0.4,0.3224,0.3333,Moderately Adaptive
Bakchar,Female,39,Partially Educated,8939,8,Permanent,Yes,Yes,366,No,No,No,No,No,No,Not Employed,Yes,High,0.7589,0.5794,0.2,0.3616,0.3333,Moderately Adaptive
Sthal,Female,49,Not Educated,7018,8,Semi-Permanent,No,No,87,No,No,No,No,No,No,Employed,Yes,Low,0.9452,0.4726,0.2,0.483,0.3333,Non-Adaptive
Sthal,Female,50,Educated,3360,6,Semi-Permanent,Yes,No,225,Yes,No,No,No,Yes,No,Employed,No,High,0.853,0.6265,0.2,0.7308,0,Non-Adaptive
Bakchar,Female,33,Partially Educated,7837,6,Temporary,No,No,346,No,Yes,Yes,No,No,Yes,Employed,No,Moderate,0.7722,0.4861,0.4,0.6787,0.3333,Strongly Adaptive
Sthal,Female,47,Partially Educated,7408,4,Permanent,No,Yes,265,Yes,No,No,Yes,No,Yes,Employed,Yes,Low,0.8263,0.6132,0.8,0.6671,0.6667,Strongly Adaptive
Bakchar,Male,52,Partially Educated,7610,7,Temporary,Yes,Yes,254,No,No,No,No,No,Yes,Employed,No,Low,0.8337,0.6168,0.2,0.6726,0,Non-Adaptive
Maijbari,Male,40,Not Educated,8297,8,Permanent,Yes,No,18,Yes,No,No,Yes,No,No,Not Employed,Yes,Low,0.9913,0.4957,0.6,0.1708,0.6667,Moderately Adaptive
Kachua,Male,40,Not Educated,5417,8,Temporary,Yes,Yes,393,Yes,No,No,No,No,No,Employed,Yes,Low,0.7408,0.5704,0.4,0.4396,0.3333,Non-Adaptive
Sthal,Male,47,Partially Educated,10047,5,Semi-Permanent,No,No,182,No,No,No,Yes,No,Yes,Employed,No,Moderate,0.8818,0.4409,0.4,0.7386,0.3333,Strongly Adaptive
Sthal,Male,49,Not Educated,4834,2,Permanent,No,Yes,513,Yes,No,No,Yes,No,No,Employed,No,Low,0.6607,0.5303,0.4,0.4238,0.3333,Non-Adaptive
Bakchar,Female,40,Not Educated,7858,3,Temporary,Yes,No,108,No,Yes,No,No,Yes,No,Employed,Yes,Low,0.9312,0.7656,0.2,0.5058,0.3333,Non-Adaptive
Sthal,Female,32,Educated,9093,6,Permanent,No,Yes,5,Yes,No,Yes,Yes,No,Yes,Not Employed,No,Moderate,1,0.7,0.8,0.5393,0.6667,Strongly Adaptive
Bakchar,Female,54,Partially Educated,6586,7,Permanent,Yes,Yes,5,No,No,No,Yes,No,No,Not Employed,No,High,1,0.7,0.2,0.2978,0.3333,Non-Adaptive
Kachua,Male,37,Educated,7482,6,Temporary,Yes,No,236,No,No,Yes,Yes,No,No,Employed,No,Moderate,0.8457,0.4228,0.4,0.8426,0.6667,Strongly Adaptive
Kachua,Male,48,Partially Educated,6895,4,Permanent,No,No,159,No,No,Yes,No,Yes,No,Employed,No,High,0.8971,0.6486,0.2,0.6532,0.3333,Moderately Adaptive
Kachua,Male,58,Educated,7360,4,Semi-Permanent,No,No,157,No,No,Yes,No,No,Yes,Not Employed,No,High,0.8985,0.4492,0.4,0.4923,0.3333,Strongly Adaptive
Kachua,Male,36,Partially Educated,4877,4,Semi-Permanent,No,Yes,226,Yes,No,Yes,No,No,No,Not Employed,No,High,0.8524,0.6262,0.4,0.2515,0.3333,Moderately Adaptive
Maijbari,Female,29,Educated,8364,4,Semi-Permanent,Yes,Yes,29,No,No,Yes,Yes,Yes,No,Employed,No,Moderate,0.984,0.892,0.4,0.8665,0.6667,Moderately Adaptive
Sthal,Male,27,Not Educated,4631,7,Permanent,Yes,No,252,Yes,No,No,No,No,Yes,Employed,No,Low,0.835,0.4175,0.4,0.4183,0,Non-Adaptive
Maijbari,Female,24,Not Educated,5953,5,Permanent,Yes,No,528,No,No,No,No,No,Yes,Employed,No,Low,0.6506,0.3253,0.2,0.4541,0,Non-Adaptive
Sthal,Female,51,Not Educated,5795,5,Semi-Permanent,Yes,No,167,Yes,No,No,No,No,No,Not Employed,No,Low,0.8918,0.4459,0.2,0.1029,0,Non-Adaptive
Sthal,Male,34,Not Educated,5844,5,Permanent,Yes,Yes,80,Yes,No,No,No,No,No,Not Employed,No,Low,0.9499,0.6749,0.2,0.1042,0,Non-Adaptive
Kachua,Female,40,Partially Educated,12593,8,Permanent,Yes,Yes,95,Yes,No,Yes,Yes,No,Yes,Not Employed,Yes,Low,0.9399,0.6699,1,0.4607,1,Strongly Adaptive
Kachua,Male,40,Not Educated,8580,2,Semi-Permanent,Yes,No,54,No,No,No,No,No,Yes,Employed,No,Low,0.9673,0.4836,0.2,0.5254,0,Non-Adaptive
Kachua,Male,29,Not Educated,8647,4,Temporary,Yes,Yes,421,Yes,No,No,Yes,No,No,Employed,Yes,Low,0.7221,0.5611,0.6,0.5272,0.6667,Moderately Adaptive
Sthal,Female,43,Partially Educated,3577,2,Permanent,Yes,No,282,Yes,No,No,Yes,No,Yes,Employed,No,Moderate,0.815,0.4075,0.6,0.5632,0.3333,Strongly Adaptive
Kachua,Female,32,Not Educated,5304,4,Semi-Permanent,Yes,Yes,95,No,No,No,No,No,Yes,Employed,No,Low,0.9399,0.6699,0.2,0.4365,0,Non-Adaptive
Sthal,Male,43,Not Educated,6200,7,Permanent,Yes,No,205,No,No,No,No,No,No,Employed,No,Low,0.8664,0.4332,0,0.4608,0,Non-Adaptive
Sthal,Male,44,Educated,7697,6,Temporary,No,Yes,450,Yes,Yes,Yes,No,No,No,Employed,No,High,0.7027,0.6514,0.4,0.8484,0.3333,Strongly Adaptive
Sthal,Female,42,Not Educated,6062,5,Permanent,No,Yes,19,No,No,No,No,No,Yes,Not Employed,No,Low,0.9906,0.6953,0.2,0.1101,0,Non-Adaptive
Maijbari,Female,48,Not Educated,7572,3,Semi-Permanent,No,Yes,363,No,No,Yes,Yes,No,No,Not Employed,Yes,Low,0.7609,0.5804,0.6,0.1511,1,Strongly Adaptive
Sthal,Male,41,Partially Educated,7103,6,Semi-Permanent,No,Yes,197,No,No,Yes,No,No,No,Employed,No,Moderate,0.8717,0.6359,0.2,0.6588,0.3333,Non-Adaptive
Sthal,Female,35,Not Educated,6696,5,Semi-Permanent,No,No,458,Yes,No,No,Yes,No,Yes,Employed,Yes,Low,0.6974,0.3487,0.8,0.4743,0.6667,Strongly Adaptive
Sthal,Male,42,Partially Educated,2306,4,Permanent,Yes,Yes,324,Yes,Yes,No,No,No,No,Employed,Yes,Moderate,0.7869,0.6935,0.4,0.5287,0.3333,Non-Adaptive
Sthal,Male,48,Partially Educated,3692,7,Permanent,Yes,No,9,No,No,No,No,No,Yes,Employed,No,High,0.9973,0.4987,0.2,0.5663,0,Non-Adaptive
Maijbari,Male,49,Educated,4264,2,Semi-Permanent,Yes,Yes,82,No,No,No,No,No,No,Not Employed,Yes,High,0.9486,0.6743,0.2,0.4083,0.3333,Moderately Adaptive
Sthal,Female,40,Not Educated,8444,4,Temporary,Yes,Yes,64,Yes,Yes,No,No,No,Yes,Employed,No,Low,0.9606,0.7803,0.4,0.5217,0,Non-Adaptive
Maijbari,Female,42,Partially Educated,7347,4,Semi-Permanent,Yes,No,26,No,No,No,No,No,No,Employed,No,Low,0.986,0.493,0,0.6654,0,Non-Adaptive
Kachua,Male,39,Educated,8418,6,Permanent,No,Yes,27,No,No,Yes,Yes,No,No,Not Employed,No,High,0.9853,0.6927,0.4,0.521,0.6667,Strongly Adaptive
Maijbari,Female,48,Partially Educated,5944,6,Permanent,Yes,Yes,227,Yes,No,Yes,No,No,Yes,Not Employed,Yes,Moderate,0.8517,0.6259,0.8,0.2804,0.6667,Strongly Adaptive
Bakchar,Female,38,Partially Educated,5777,6,Permanent,Yes,Yes,468,No,No,No,No,No,No,Employed,Yes,Moderate,0.6907,0.5454,0.2,0.6229,0.3333,Non-Adaptive
Bakchar,Male,48,Not Educated,6210,7,Permanent,No,No,61,No,No,No,No,No,No,Not Employed,No,Low,0.9626,0.4813,0,0.1142,0,Non-Adaptive
Sthal,Male,39,Partially Educated,8490,3,Semi-Permanent,No,No,89,No,No,Yes,No,No,Yes,Employed,No,Low,0.9439,0.4719,0.4,0.6964,0.3333,Moderately Adaptive
Bakchar,Male,39,Partially Educated,8504,5,Semi-Permanent,Yes,No,349,No,Yes,No,No,No,No,Employed,Yes,Moderate,0.7702,0.4851,0.2,0.6968,0.3333,Moderately Adaptive
Maijbari,Female,40,Partially Educated,8934,5,Permanent,Yes,No,233,No,Yes,No,No,No,Yes,Employed,No,Low,0.8477,0.5238,0.2,0.7085,0,Moderately Adaptive
Bakchar,Female,54,Partially Educated,7212,5,Semi-Permanent,No,No,248,No,No,No,No,No,Yes,Employed,Yes,Low,0.8377,0.4188,0.4,0.6618,0.3333,Strongly Adaptive
Bakchar,Male,53,Not Educated,5001,6,Semi-Permanent,No,Yes,152,Yes,No,No,No,No,No,Not Employed,No,Low,0.9018,0.6509,0.2,0.0814,0,Non-Adaptive
Bakchar,Female,62,Partially Educated,5054,6,Temporary,No,No,27,No,No,No,No,Yes,No,Employed,No,Moderate,0.9853,0.6927,0,0.6032,0,Non-Adaptive
Maijbari,Male,32,Educated,9527,4,Permanent,Yes,No,166,No,No,No,No,No,No,Not Employed,Yes,High,0.8925,0.4462,0.2,0.5511,0.3333,Strongly Adaptive
Maijbari,Male,25,Partially Educated,7256,7,Permanent,No,No,454,No,No,No,No,Yes,Yes,Not Employed,No,Low,0.7001,0.55,0.2,0.316,0,Non-Adaptive
Kachua,Female,63,Partially Educated,3413,7,Temporary,Yes,No,257,Yes,No,No,Yes,No,No,Not Employed,No,Moderate,0.8317,0.4158,0.4,0.2118,0.3333,Moderately Adaptive
Sthal,Female,47,Educated,9047,7,Permanent,Yes,No,162,Yes,No,No,No,No,Yes,Not Employed,No,High,0.8951,0.4476,0.4,0.538,0,Strongly Adaptive
Bakchar,Female,28,Educated,3514,5,Permanent,Yes,Yes,19,Yes,No,No,No,No,No,Employed,No,High,0.9906,0.6953,0.2,0.735,0,Non-Adaptive
Kachua,Female,33,Not Educated,9638,5,Temporary,Yes,No,327,Yes,No,No,No,No,No,Employed,Yes,Low,0.7849,0.3925,0.4,0.5541,0.3333,Moderately Adaptive
Bakchar,Male,40,Educated,7833,2,Semi-Permanent,No,No,233,Yes,No,No,No,No,No,Employed,No,Moderate,0.8477,0.4238,0.2,0.8521,0,Moderately Adaptive
Maijbari,Male,45,Not Educated,7045,4,Temporary,Yes,No,11,No,No,Yes,Yes,No,Yes,Employed,No,Low,0.996,0.498,0.6,0.4838,0.6667,Moderately Adaptive
Sthal,Female,42,Educated,4562,7,Semi-Permanent,Yes,No,16,No,No,No,Yes,Yes,No,Employed,Yes,High,0.9927,0.6963,0.4,0.7634,0.6667,Strongly Adaptive
Maijbari,Female,48,Not Educated,8153,3,Temporary,Yes,No,35,No,No,No,No,No,Yes,Not Employed,Yes,Low,0.98,0.49,0.4,0.1668,0.3333,Non-Adaptive
Maijbari,Female,56,Partially Educated,8779,11,Semi-Permanent,Yes,No,245,Yes,No,No,Yes,No,No,Not Employed,Yes,Moderate,0.8397,0.4198,0.6,0.3573,0.6667,Strongly Adaptive
Kachua,Female,33,Partially Educated,4509,6,Semi-Permanent,No,No,20,Yes,No,No,No,Yes,No,Employed,Yes,Moderate,0.99,0.695,0.4,0.5885,0.3333,Moderately Adaptive
Sthal,Male,48,Partially Educated,8917,6,Temporary,No,Yes,413,No,No,No,Yes,No,No,Employed,No,Moderate,0.7275,0.5637,0.2,0.708,0.3333,Moderately Adaptive
Maijbari,Female,38,Not Educated,7475,4,Semi-Permanent,Yes,No,124,Yes,No,Yes,No,No,No,Employed,Yes,Low,0.9205,0.4603,0.6,0.4954,0.6667,Strongly Adaptive
Sthal,Female,39,Not Educated,5659,6,Permanent,Yes,No,122,Yes,No,No,No,Yes,No,Employed,No,Low,0.9218,0.6609,0.2,0.4462,0,Non-Adaptive
Bakchar,Male,45,Partially Educated,7091,3,Semi-Permanent,No,Yes,111,Yes,No,No,No,No,Yes,Not Employed,Yes,Moderate,0.9292,0.6646,0.6,0.3115,0.3333,Moderately Adaptive
Sthal,Female,18,Not Educated,8585,2,Semi-Permanent,No,Yes,88,Yes,No,No,Yes,No,Yes,Not Employed,Yes,Low,0.9446,0.6723,0.8,0.1786,0.6667,Strongly Adaptive
Maijbari,Male,30,Partially Educated,5292,7,Semi-Permanent,Yes,No,37,No,No,Yes,No,No,No,Employed,Yes,Moderate,0.9786,0.4893,0.4,0.6097,0.6667,Strongly Adaptive
Sthal,Female,52,Partially Educated,7095,6,Temporary,No,Yes,302,Yes,No,No,Yes,No,No,Employed,No,Moderate,0.8016,0.6008,0.4,0.6586,0.3333,Moderately Adaptive
Sthal,Male,53,Educated,3587,5,Semi-Permanent,Yes,No,690,Yes,No,Yes,No,No,Yes,Employed,No,High,0.5424,0.2712,0.6,0.7369,0.3333,Strongly Adaptive
Sthal,Female,42,Partially Educated,7061,6,Temporary,No,No,80,Yes,No,No,No,Yes,No,Not Employed,Yes,Moderate,0.9499,0.6749,0.4,0.3107,0.3333,Moderately Adaptive
Kachua,Male,22,Not Educated,5024,4,Semi-Permanent,Yes,No,350,No,No,No,No,No,No,Employed,No,Low,0.7695,0.3848,0,0.429,0,Non-Adaptive
Kachua,Female,46,Not Educated,4973,4,Permanent,Yes,Yes,64,Yes,Yes,Yes,No,No,No,Employed,Yes,Low,0.9606,0.7803,0.6,0.4276,0.6667,Moderately Adaptive
Bakchar,Male,29,Educated,11029,4,Permanent,Yes,No,280,No,No,No,No,No,No,Employed,No,High,0.8163,0.4081,0,0.9387,0,Moderately Adaptive
Maijbari,Female,52,Educated,7843,4,Temporary,No,Yes,248,No,No,Yes,No,No,Yes,Employed,No,Moderate,0.8377,0.6188,0.4,0.8524,0.3333,Strongly Adaptive
Maijbari,Female,39,Educated,8368,12,Semi-Permanent,Yes,Yes,657,Yes,No,No,No,No,Yes,Employed,No,Moderate,0.5645,0.4822,0.4,0.8666,0,Strongly Adaptive
Maijbari,Female,37,Educated,7789,3,Temporary,Yes,Yes,337,No,No,No,No,No,Yes,Employed,No,High,0.7782,0.5891,0.2,0.8509,0,Moderately Adaptive
Kachua,Female,37,Partially Educated,6539,5,Permanent,Yes,Yes,13,No,No,Yes,Yes,Yes,No,Not Employed,No,Low,0.9947,0.8973,0.4,0.2966,0.6667,Moderately Adaptive
Maijbari,Female,27,Educated,8930,6,Permanent,Yes,No,271,Yes,No,Yes,No,No,No,Employed,No,High,0.8223,0.4112,0.4,0.8818,0.3333,Strongly Adaptive
Sthal,Male,50,Partially Educated,8175,3,Permanent,Yes,No,132,No,No,Yes,No,No,Yes,Not Employed,No,Low,0.9152,0.4576,0.4,0.3409,0.3333,Strongly Adaptive
Maijbari,Male,28,Partially Educated,7188,3,Temporary,No,Yes,133,Yes,No,Yes,No,No,Yes,Employed,Yes,Low,0.9145,0.6572,0.8,0.6611,0.6667,Strongly Adaptive
Sthal,Male,69,Partially Educated,2916,4,Permanent,Yes,No,95,Yes,No,No,No,No,No,Not Employed,No,Moderate,0.9399,0.4699,0.2,0.1983,0,Non-Adaptive
Bakchar,Female,49,Not Educated,5467,4,Temporary,No,No,165,Yes,No,No,Yes,Yes,No,Employed,Yes,Low,0.8931,0.6466,0.6,0.441,0.6667,Moderately Adaptive
Kachua,Female,30,Partially Educated,5471,5,Permanent,Yes,Yes,40,No,No,Yes,Yes,Yes,Yes,Employed,No,Moderate,0.9766,0.8883,0.6,0.6146,0.6667,Moderately Adaptive
Maijbari,Female,34,Not Educated,8149,4,Permanent,Yes,Yes,500,Yes,No,Yes,No,No,No,Employed,No,Low,0.6693,0.5347,0.4,0.5137,0.3333,Moderately Adaptive
Sthal,Female,31,Partially Educated,3903,9,Permanent,No,Yes,276,Yes,No,Yes,No,No,No,Employed,Yes,Low,0.819,0.6095,0.6,0.572,0.6667,Strongly Adaptive
Bakchar,Male,50,Partially Educated,8580,4,Permanent,Yes,Yes,59,Yes,No,No,No,No,Yes,Not Employed,Yes,Moderate,0.9639,0.682,0.6,0.3519,0.3333,Moderately Adaptive
Sthal,Female,46,Educated,7053,5,Semi-Permanent,No,No,277,No,No,No,Yes,No,No,Employed,No,High,0.8183,0.4092,0.2,0.8309,0.3333,Strongly Adaptive
Sthal,Male,60,Educated,4584,4,Permanent,Yes,Yes,462,Yes,No,No,No,No,No,Not Employed,No,Moderate,0.6947,0.5474,0.2,0.417,0,Moderately Adaptive
Bakchar,Female,37,Not Educated,6841,3,Semi-Permanent,No,No,141,Yes,No,Yes,Yes,Yes,No,Not Employed,No,Low,0.9092,0.6546,0.6,0.1313,0.6667,Moderately Adaptive
Bakchar,Male,46,Partially Educated,6864,9,Temporary,Yes,Yes,60,No,No,No,No,No,No,Not Employed,No,Moderate,0.9633,0.6816,0,0.3054,0,Non-Adaptive
Bakchar,Female,42,Partially Educated,8640,3,Semi-Permanent,Yes,Yes,43,Yes,No,Yes,No,No,No,Employed,No,Low,0.9746,0.6873,0.4,0.7005,0.3333,Moderately Adaptive
Kachua,Female,29,Not Educated,7079,4,Permanent,Yes,No,333,Yes,No,No,No,No,No,Employed,Yes,Low,0.7809,0.3904,0.4,0.4847,0.3333,Moderately Adaptive
Kachua,Female,53,Not Educated,7692,4,Permanent,Yes,No,28,Yes,No,No,No,No,Yes,Employed,Yes,Low,0.9846,0.4923,0.6,0.5013,0.3333,Moderately Adaptive
Bakchar,Female,27,Partially Educated,3099,6,Permanent,Yes,No,132,No,No,No,No,No,Yes,Not Employed,No,Moderate,0.9152,0.4576,0.2,0.2033,0,Non-Adaptive
Sthal,Female,45,Partially Educated,6198,6,Temporary,Yes,Yes,111,Yes,Yes,Yes,Yes,No,No,Employed,No,Moderate,0.9292,0.7646,0.6,0.6343,0.6667,Moderately Adaptive
Sthal,Male,44,Educated,6461,5,Permanent,Yes,No,142,No,No,No,No,Yes,No,Employed,No,High,0.9085,0.6542,0,0.8149,0,Non-Adaptive
Sthal,Female,43,Partially Educated,8994,8,Permanent,No,No,52,No,No,No,No,No,Yes,Not Employed,Yes,Moderate,0.9686,0.4843,0.4,0.3631,0.3333,Moderately Adaptive
Kachua,Male,38,Not Educated,6196,5,Semi-Permanent,No,No,204,No,No,No,No,No,Yes,Employed,No,Low,0.8671,0.4335,0.2,0.4607,0,Non-Adaptive
Sthal,Male,26,Educated,6364,4,Permanent,No,No,49,Yes,No,No,No,No,No,Employed,Yes,High,0.9706,0.4853,0.4,0.8122,0.3333,Strongly Adaptive
Kachua,Male,24,Partially Educated,8504,5,Temporary,Yes,No,43,No,No,No,No,Yes,No,Not Employed,Yes,Low,0.9746,0.6873,0.2,0.3498,0.3333,Non-Adaptive
Sthal,Female,37,Partially Educated,8326,4,Semi-Permanent,Yes,No,147,No,No,Yes,No,No,No,Not Employed,No,Moderate,0.9051,0.4526,0.2,0.345,0.3333,Moderately Adaptive
Kachua,Male,23,Partially Educated,8743,2,Semi-Permanent,No,Yes,56,No,No,No,No,No,Yes,Not Employed,Yes,Low,0.9659,0.683,0.4,0.3563,0.3333,Moderately Adaptive
Sthal,Female,59,Not Educated,8493,5,Temporary,No,No,77,No,No,No,No,No,Yes,Employed,Yes,Low,0.9519,0.476,0.4,0.523,0.3333,Moderately Adaptive
Maijbari,Female,48,Partially Educated,3784,8,Permanent,Yes,No,153,Yes,No,No,Yes,No,Yes,Employed,No,Low,0.9011,0.4506,0.6,0.5688,0.3333,Strongly Adaptive
Kachua,Male,66,Partially Educated,4088,2,Temporary,Yes,No,19,No,No,Yes,No,No,No,Employed,No,Moderate,0.9906,0.4953,0.2,0.5771,0.3333,Non-Adaptive
Bakchar,Female,33,Educated,11418,6,Temporary,No,No,232,No,No,No,No,No,No,Employed,Yes,High,0.8484,0.4242,0.2,0.9493,0.3333,Strongly Adaptive
Sthal,Male,46,Partially Educated,4181,5,Permanent,No,No,10,No,No,No,Yes,No,Yes,Not Employed,Yes,Moderate,0.9967,0.4983,0.6,0.2326,0.6667,Strongly Adaptive
Bakchar,Male,60,Educated,8211,2,Semi-Permanent,No,No,124,No,No,No,Yes,No,No,Not Employed,No,High,0.9205,0.4603,0.2,0.5154,0.3333,Strongly Adaptive
Bakchar,Male,33,Partially Educated,8624,4,Temporary,Yes,No,184,Yes,Yes,Yes,No,No,Yes,Employed,No,Moderate,0.8804,0.5402,0.6,0.7001,0.3333,Strongly Adaptive
Kachua,Female,45,Partially Educated,5404,7,Temporary,Yes,No,99,No,No,Yes,No,No,No,Employed,No,Low,0.9372,0.4686,0.2,0.6127,0.3333,Non-Adaptive
Sthal,Female,49,Not Educated,6434,8,Semi-Permanent,No,No,283,No,Yes,No,Yes,No,Yes,Employed,Yes,Moderate,0.8143,0.5071,0.6,0.4672,0.6667,Moderately Adaptive
Maijbari,Female,50,Educated,5295,4,Semi-Permanent,Yes,No,240,No,No,No,Yes,No,Yes,Not Employed,No,Moderate,0.843,0.4215,0.4,0.4363,0.3333,Strongly Adaptive
Bakchar,Female,21,Not Educated,5343,3,Semi-Permanent,Yes,Yes,110,Yes,No,No,Yes,No,No,Employed,No,Low,0.9299,0.6649,0.4,0.4376,0.3333,Non-Adaptive
Kachua,Female,56,Partially Educated,7948,5,Temporary,No,Yes,81,Yes,No,Yes,No,Yes,No,Employed,No,Moderate,0.9492,0.8746,0.4,0.6817,0.3333,Moderately Adaptive
Maijbari,Female,32,Partially Educated,7686,6,Temporary,Yes,No,195,No,No,Yes,No,No,No,Employed,No,Moderate,0.8731,0.4365,0.2,0.6746,0.3333,Moderately Adaptive
Sthal,Female,32,Not Educated,7040,5,Permanent,Yes,No,468,No,No,No,No,No,Yes,Not Employed,No,Low,0.6907,0.3454,0.2,0.1367,0,Non-Adaptive
Bakchar,Female,27,Partially Educated,9235,3,Permanent,No,Yes,787,No,No,No,No,Yes,Yes,Employed,No,Moderate,0.4776,0.6388,0.2,0.7166,0,Non-Adaptive
Sthal,Male,38,Educated,4314,7,Permanent,Yes,Yes,22,Yes,No,Yes,No,No,Yes,Employed,No,Moderate,0.9886,0.6943,0.6,0.7567,0.3333,Strongly Adaptive
Sthal,Female,62,Educated,8155,7,Permanent,No,No,47,Yes,No,No,No,No,No,Employed,No,High,0.9719,0.486,0.2,0.8608,0,Moderately Adaptive
Kachua,Female,38,Partially Educated,10233,6,Semi-Permanent,Yes,No,40,No,No,No,No,No,No,Not Employed,Yes,Moderate,0.9766,0.4883,0.2,0.3967,0.3333,Moderately Adaptive
Bakchar,Male,46,Partially Educated,4686,3,Semi-Permanent,No,Yes,60,No,No,No,No,No,No,Not Employed,No,Moderate,0.9633,0.6816,0,0.2463,0,Non-Adaptive
Kachua,Female,38,Not Educated,10603,7,Permanent,Yes,Yes,136,Yes,No,No,Yes,No,Yes,Employed,No,Moderate,0.9125,0.6562,0.6,0.5802,0.3333,Moderately Adaptive
Maijbari,Male,60,Partially Educated,5724,5,Permanent,Yes,Yes,6,No,No,No,Yes,Yes,Yes,Employed,Yes,Moderate,0.9993,0.8997,0.6,0.6214,0.6667,Moderately Adaptive
Bakchar,Female,51,Partially Educated,3853,2,Permanent,Yes,No,205,No,No,No,No,No,Yes,Not Employed,Yes,Low,0.8664,0.4332,0.4,0.2237,0.3333,Moderately Adaptive
Bakchar,Female,55,Partially Educated,4188,7,Permanent,Yes,No,28,Yes,No,No,No,No,No,Not Employed,Yes,Low,0.9846,0.4923,0.4,0.2328,0.3333,Moderately Adaptive
Bakchar,Female,19,Partially Educated,6108,6,Permanent,No,No,65,Yes,No,Yes,No,No,No,Employed,No,High,0.9599,0.48,0.4,0.6318,0.3333,Moderately Adaptive
Bakchar,Female,48,Partially Educated,8672,3,Semi-Permanent,No,No,44,No,No,Yes,Yes,No,No,Not Employed,No,Moderate,0.9739,0.487,0.4,0.3544,0.6667,Strongly Adaptive
Bakchar,Female,58,Not Educated,5438,9,Permanent,No,Yes,134,Yes,No,No,Yes,Yes,Yes,Employed,No,Low,0.9138,0.8569,0.6,0.4402,0.3333,Non-Adaptive
Kachua,Female,50,Partially Educated,8245,10,Permanent,Yes,No,339,No,No,Yes,No,No,Yes,Employed,No,Low,0.7769,0.3884,0.4,0.6898,0.3333,Strongly Adaptive
Kachua,Female,47,Educated,13288,4,Temporary,Yes,Yes,161,No,No,No,Yes,No,No,Employed,Yes,High,0.8958,0.6479,0.4,1,0.6667,Strongly Adaptive
Maijbari,Male,59,Partially Educated,7782,6,Permanent,No,No,305,No,No,No,Yes,No,Yes,Not Employed,No,Moderate,0.7996,0.3998,0.4,0.3303,0.3333,Strongly Adaptive
Bakchar,Female,32,Educated,8344,8,Semi-Permanent,Yes,Yes,79,Yes,No,No,No,No,Yes,Not Employed,No,Moderate,0.9506,0.6753,0.4,0.519,0,Strongly Adaptive
Maijbari,Male,22,Partially Educated,3856,10,Permanent,Yes,No,98,Yes,No,Yes,No,No,No,Employed,Yes,Moderate,0.9379,0.4689,0.6,0.5708,0.6667,Strongly Adaptive
